date,column1,column2,column3,column4,column5,column6,column7,column8
01/02/2020,null,null,null,null,null,null,null,407
02/02/2020,null,null,null,null,null,null,null,425
03/02/2020,null,null,null,null,null,null,null,434
04/02/2020,null,null,null,null,null,null,null,355
05/02/2020,null,null,null,null,null,null,null,445
06/02/2020,null,null,null,null,null,null,null,434
07/02/2020,null,null,null,null,null,null,null,461
08/02/2020,null,null,null,null,null,null,null,406
09/02/2020,null,null,null,null,null,null,null,188
10/02/2020,null,null,null,null,null,null,null,278
11/02/2020,null,null,null,null,null,null,null,251
12/02/2020,null,null,null,null,null,null,null,342
13/02/2020,null,null,null,null,null,null,null,391
14/02/2020,null,null,null,null,null,null,null,383
15/02/2020,null,null,null,null,null,null,null,310
16/02/2020,null,null,null,null,null,null,null,277
17/02/2020,null,null,null,null,null,null,null,308
18/02/2020,null,null,null,null,null,null,null,355
19/02/2020,null,null,null,null,null,null,null,386
20/02/2020,null,null,null,null,null,null,null,347
21/02/2020,null,null,null,null,null,null,null,347
22/02/2020,null,null,null,null,null,null,null,326
23/02/2020,null,null,null,null,null,null,null,376
24/02/2020,null,null,null,null,null,null,null,350
25/02/2020,null,null,null,null,null,null,null,374
26/02/2020,null,null,null,null,null,null,null,379
27/02/2020,null,null,null,null,null,null,null,440
28/02/2020,null,null,null,null,null,null,null,392
29/02/2020,null,null,null,null,null,null,null,348
01/03/2020,null,null,null,null,null,null,104,334
02/03/2020,null,null,null,null,null,null,103,426
03/03/2020,null,null,null,null,null,null,102,415
04/03/2020,null,null,null,null,null,null,101,417
05/03/2020,null,null,null,null,null,null,100,400
06/03/2020,null,null,null,null,null,null,102,438
07/03/2020,null,null,null,null,null,null,102,405
08/03/2020,null,null,null,null,null,null,106,378
09/03/2020,null,null,null,null,null,null,103,368
10/03/2020,null,null,null,null,null,null,101,352
11/03/2020,null,null,null,null,null,null,100,371
12/03/2020,null,null,null,null,null,null,99,291
13/03/2020,null,null,null,null,null,null,98,350
14/03/2020,null,null,null,null,null,null,95,391
15/03/2020,null,null,null,null,null,null,96,372
16/03/2020,null,null,null,null,null,null,98,429
17/03/2020,null,null,null,null,null,null,89,407
18/03/2020,null,null,null,null,null,null,83,401
19/03/2020,null,null,null,null,null,null,82,389
20/03/2020,null,null,null,null,null,null,81,373
21/03/2020,null,null,null,null,null,null,73,321
22/03/2020,null,null,null,null,null,null,69,315
23/03/2020,null,null,null,null,null,null,69,349
24/03/2020,null,null,null,null,null,null,49,362
25/03/2020,null,null,null,null,null,null,42,344
26/03/2020,null,null,null,null,null,null,39,332
27/03/2020,null,null,null,null,null,null,38,345
28/03/2020,null,null,null,null,null,null,30,311
29/03/2020,null,null,null,null,null,null,25,259
30/03/2020,null,null,null,null,null,null,36,280
31/03/2020,null,null,null,null,null,null,36,323
01/04/2020,null,null,null,null,null,null,35,314
02/04/2020,null,null,null,null,null,null,35,275
03/04/2020,null,null,null,null,null,null,36,306
04/04/2020,null,null,null,null,null,null,31,298
05/04/2020,null,null,null,null,null,null,27,305
06/04/2020,null,null,null,null,null,null,37,300
07/04/2020,null,null,null,null,null,null,36,311
08/04/2020,null,null,null,null,null,null,37,293
09/04/2020,null,null,null,null,null,null,39,302
10/04/2020,null,null,null,null,null,null,27,263
11/04/2020,null,null,null,null,null,null,31,295
12/04/2020,null,null,null,null,null,null,24,315
13/04/2020,null,null,null,null,null,null,23,234
14/04/2020,null,null,null,null,null,null,38,272
15/04/2020,null,null,null,null,null,null,38,308
16/04/2020,null,null,null,null,null,null,38,299
17/04/2020,null,null,null,null,null,null,39,315
18/04/2020,null,null,null,null,null,null,33,273
19/04/2020,null,null,null,null,null,null,32,326
20/04/2020,null,null,null,null,null,null,41,290
21/04/2020,null,null,null,null,null,null,41,264
22/04/2020,null,null,null,null,null,null,41,265
23/04/2020,null,null,null,null,null,null,41,281
24/04/2020,null,null,null,null,null,null,42,289
25/04/2020,null,null,null,null,null,null,38,314
26/04/2020,null,null,null,null,null,null,35,293
27/04/2020,null,null,null,null,null,null,44,276
28/04/2020,null,null,null,null,null,null,42,296
29/04/2020,null,null,null,null,null,null,42,270
30/04/2020,null,null,null,null,null,null,42,261
01/05/2020,null,null,null,null,null,null,44,268
02/05/2020,null,null,null,null,null,null,40,283
03/05/2020,null,null,null,null,null,null,37,297
04/05/2020,null,null,null,null,null,null,46,300
05/05/2020,null,null,null,null,null,null,46,267
06/05/2020,null,null,null,null,null,null,47,289
07/05/2020,null,null,null,null,null,null,49,300
08/05/2020,null,null,null,null,null,null,34,289
09/05/2020,null,null,null,null,null,null,41,332
10/05/2020,null,null,null,null,null,null,37,289
11/05/2020,null,null,null,null,null,null,49,268
12/05/2020,null,null,null,null,null,null,50,287
13/05/2020,null,null,null,null,null,null,53,278
14/05/2020,null,null,null,null,null,null,54,291
15/05/2020,null,null,null,null,null,null,55,270
16/05/2020,null,null,null,null,null,null,56,287
17/05/2020,null,null,null,null,null,null,54,303
18/05/2020,null,null,null,null,null,null,58,316
19/05/2020,null,null,null,null,null,null,58,313
20/05/2020,null,null,null,null,null,null,60,316
21/05/2020,null,null,null,null,null,null,59,320
22/05/2020,null,null,null,null,null,null,59,305
23/05/2020,null,null,null,null,null,null,58,297
24/05/2020,null,null,null,null,null,null,58,336
25/05/2020,null,null,null,null,null,null,50,346
26/05/2020,null,null,null,null,null,null,63,369
27/05/2020,null,null,null,null,null,null,63,319
28/05/2020,null,null,null,null,null,null,64,348
29/05/2020,null,null,null,null,null,null,66,334
30/05/2020,null,null,null,null,null,null,69,346
31/05/2020,null,null,null,null,null,null,71,327
01/06/2020,null,null,null,null,null,null,69,342
02/06/2020,null,null,null,null,null,null,69,355
03/06/2020,null,null,null,null,null,null,63,322
04/06/2020,null,null,null,null,null,null,64,344
05/06/2020,null,null,null,null,null,null,66,317
06/06/2020,null,null,null,null,null,null,66,275
07/06/2020,null,null,null,null,null,null,66,350
08/06/2020,null,null,null,null,null,null,68,360
09/06/2020,null,null,null,null,null,null,69,366
10/06/2020,null,null,null,null,null,null,66,328
11/06/2020,null,null,null,null,null,null,66,310
12/06/2020,null,null,null,null,null,null,67,340
13/06/2020,null,null,null,null,null,null,76,353
14/06/2020,null,null,null,null,null,null,77,369
15/06/2020,null,null,null,null,null,null,74,380
16/06/2020,null,null,null,null,null,null,72,369
17/06/2020,null,null,null,null,null,null,72,374
18/06/2020,null,null,null,null,null,null,69,377
19/06/2020,null,null,null,null,null,null,74,385
20/06/2020,null,null,null,null,null,null,86,403
21/06/2020,null,null,null,null,null,null,83,356
22/06/2020,null,null,null,null,null,null,77,401
23/06/2020,null,null,null,null,null,null,78,452
24/06/2020,null,null,null,null,null,null,80,414
25/06/2020,null,null,null,null,null,null,80,397
26/06/2020,null,null,null,null,null,null,78,382
27/06/2020,null,null,null,null,null,null,78,383
28/06/2020,null,null,null,null,null,null,79,366
29/06/2020,null,null,null,null,null,null,77,308
30/06/2020,null,null,null,null,null,null,77,372
01/07/2020,null,null,null,null,null,null,78,419
02/07/2020,null,null,null,null,null,null,77,379
03/07/2020,null,null,null,null,null,null,79,385
04/07/2020,null,null,null,null,null,null,84,416
05/07/2020,null,null,null,null,null,null,87,324
06/07/2020,null,null,null,null,null,null,83,373
07/07/2020,null,null,null,null,null,null,80,367
08/07/2020,null,null,null,null,null,null,79,362
09/07/2020,null,null,null,null,null,null,80,379
10/07/2020,null,null,null,null,null,null,86,380
11/07/2020,null,null,null,null,null,null,93,403
12/07/2020,null,null,null,null,null,null,99,374
13/07/2020,null,null,null,null,null,null,84,377
14/07/2020,null,null,null,null,null,null,83,368
15/07/2020,null,null,null,null,null,null,83,392
16/07/2020,null,null,null,null,null,null,85,382
17/07/2020,null,null,null,null,null,null,89,367
18/07/2020,null,null,null,null,null,null,94,354
19/07/2020,null,null,null,null,null,null,98,379
20/07/2020,null,null,null,null,null,null,88,373
21/07/2020,null,null,null,null,null,null,87,423
22/07/2020,null,null,null,null,null,null,85,360
23/07/2020,null,null,null,null,null,null,84,395
24/07/2020,null,null,null,null,null,null,90,400
25/07/2020,null,null,null,null,null,null,92,359
26/07/2020,null,null,null,null,null,null,100,375
27/07/2020,null,null,null,null,null,null,83,364
28/07/2020,null,null,null,null,null,null,86,337
29/07/2020,null,null,null,null,null,null,87,412
30/07/2020,null,null,null,null,null,null,88,381
31/07/2020,null,null,null,null,null,null,93,430
01/08/2020,null,null,null,null,null,null,99,408
