date,column1,column2,column3,column4,column5,column6,column7,column8
02/08/2020,null,null,null,null,null,null,103,387
03/08/2020,null,null,null,null,null,null,90,321
04/08/2020,null,null,null,null,null,null,87,307
05/08/2020,null,null,null,null,null,null,87,321
06/08/2020,null,null,null,null,null,null,88,363
07/08/2020,null,null,null,null,null,null,91,378
08/08/2020,null,null,null,null,null,null,101,390
09/08/2020,null,null,null,null,null,null,105,360
10/08/2020,null,null,null,null,null,null,93,334
11/08/2020,null,null,null,null,null,null,89,362
12/08/2020,null,null,null,null,null,null,89,364
13/08/2020,null,null,null,null,null,null,88,328
14/08/2020,null,null,null,null,null,null,92,353
15/08/2020,null,null,null,null,null,null,98,350
16/08/2020,null,null,null,null,null,null,98,327
17/08/2020,null,null,null,null,null,null,91,291
18/08/2020,null,null,null,null,null,null,89,356
19/08/2020,null,null,null,null,null,null,87,317
20/08/2020,null,null,null,null,null,null,92,318
21/08/2020,null,null,null,null,null,null,91,245
22/08/2020,null,null,null,null,null,null,99,275
23/08/2020,null,null,null,null,null,null,103,340
24/08/2020,null,null,null,null,null,null,94,379
25/08/2020,null,null,null,null,null,null,85,241
26/08/2020,null,null,null,null,null,null,93,264
27/08/2020,null,null,7366,4109,81.9,null,89,341
28/08/2020,null,null,12550,5984,84.8,null,93,361
29/08/2020,null,null,14301,6605,87.6,null,101,312
30/08/2020,null,null,13934,6391,92.8,null,105,372
31/08/2020,null,null,12660,6418,94.1,null,82,405
01/09/2020,null,null,14902,6629,94.9,null,94,378
02/09/2020,null,null,15116,6140,97.1,null,90,339
03/09/2020,null,null,13052,5371,88.0,null,90,343
04/09/2020,null,null,14034,6239,91.6,null,95,344
05/09/2020,null,null,13268,5411,97.2,null,103,406
06/09/2020,null,null,15207,6418,87.8,null,104,400
07/09/2020,null,null,12194,5444,85.3,null,94,314
08/09/2020,null,null,8770,5461,74.5,null,92,295
09/09/2020,null,null,9758,5378,63.0,null,93,339
10/09/2020,null,null,7328,3601,57.3,null,92,319
11/09/2020,null,null,9372,3631,48.5,null,96,340
12/09/2020,null,null,9707,4124,41.4,null,101,340
13/09/2020,null,null,11306,4836,38.2,null,107,326
14/09/2020,null,null,9989,4552,38.3,null,97,334
15/09/2020,null,null,14525,4499,35.2,null,93,328
16/09/2020,null,null,14108,4637,36.5,null,93,306
17/09/2020,null,37,14464,3856,37.1,null,93,290
18/09/2020,null,36,17193,4860,37.6,100.0,97,304
19/09/2020,null,40,18575,4601,41.8,100.0,102,283
20/09/2020,null,37,17574,5312,41.4,99.9,106,361
21/09/2020,null,41,16955,4521,43.2,99.8,96,305
22/09/2020,null,44,18066,4775,39.7,99.7,92,321
23/09/2020,null,49,18661,4642,40.7,99.4,89,318
24/09/2020,null,48,16849,4642,44.5,99.3,90,235
25/09/2020,null,50,17134,4489,44.0,99.2,94,223
26/09/2020,null,53,17360,4579,45.6,99.6,98,212
27/09/2020,null,54,16658,4522,54.1,99.6,100,229
28/09/2020,29.5,51,15012,4325,54.4,99.4,93,306
29/09/2020,25.1,55,16966,4142,54.5,99.2,91,309
30/09/2020,22.2,55,15331,4248,55.1,98.9,88,306
01/10/2020,18.8,57,15343,4282,50.1,98.8,89,333
02/10/2020,15.5,62,15417,5018,53.5,98.7,90,262
03/10/2020,13.6,64,17347,4698,55.1,98.5,87,269
04/10/2020,11.1,59,17359,5399,59.4,98.8,89,240
05/10/2020,9.4,61,17940,6198,61.2,99.3,91,null
